clumps,CAPAD,soil,elev,rain,tmax,rainVar,NarClimffdigt50,NarClimfRain,NarClimfTmax,tmax_future,rain_future,ProfileID,SciName,Taxa,CommonName,SiteID,SiteName,Restricted
1,NA,Sodosol,80.5166398526345,958.1952933744335,22.773976257161817,0.711678926651524,0.7520333077199026,9.950897523426976,1.9230193409561396,24.696995598117955,1053.5443250924238,NA,NA,NA,NA,NA,NA,NA
2,NA,Vertosol,15.703208509550944,887.3874009107063,23.34313542166214,0.7145275511431364,0.7984066451077821,10.1144797552525,1.9191423510453367,25.262277772707478,977.1420199264811,NA,NA,NA,NA,NA,NA,NA
1,NA,Sodosol,36.10198970435932,918.9350317698571,23.279896051113774,0.7125589859943552,0.7631011011176632,9.873459284243872,1.9221585571029216,25.202054608216695,1009.6657079803075,NA,NA,NA,NA,NA,NA,NA
2,NA,Vertosol,15.91041476282901,885.0978682780984,23.484010612799565,0.7151944855364385,0.8114052769222545,10.072684373195543,1.9179908297264117,25.40200144252598,974.2509829436334,NA,NA,NA,NA,NA,NA,NA
3,NA,Vertosol,17.636235206506377,892.8005248725759,23.52496466648896,0.7166190164258559,0.8132005504648605,10.018737521333234,1.9174976738278955,25.442462340316855,982.2478660486448,NA,NA,NA,NA,NA,NA,NA
1,NA,Sodosol,31.876723363461977,928.006929897358,23.013945033562774,0.7122112976717552,0.7492023513712233,9.681419452232282,1.9235043217284935,24.937449355291267,1017.8511733265044,NA,NA,NA,NA,NA,NA,NA
1,NA,Vertosol,22.299666268001104,910.0740559101237,23.393153565520524,0.7127376863236075,0.7624779548481875,9.75333412580025,1.9222817285749412,25.315435294095465,998.8366193752603,NA,NA,NA,NA,NA,NA,NA
2,NA,Vertosol,17.077995247385232,884.1045515734182,23.519849404867557,0.7144525808475994,0.8010763452149541,9.946462132827026,1.9187989823328622,25.43864838720042,972.0416760102684,NA,NA,NA,NA,NA,NA,NA
2,NA,Vertosol,20.746033878643708,886.4821650524312,23.5217036059562,0.7150695165819986,0.8133632651827107,10.002182533697002,1.9177114408838594,25.43941504684006,975.1497293296445,NA,NA,NA,NA,NA,NA,NA
4,NA,Vertosol,9.080087544399687,902.2459935356562,23.386138625128417,0.7144504903647144,0.7987511584851722,9.691743396467992,1.9173173504371461,25.303455975565562,989.6893600340452,NA,NA,NA,NA,NA,NA,NA
2,NA,Vertosol,22.99272950733364,887.6119550987034,23.501952167577986,0.7149213735672952,0.8151245399668464,9.93274879374391,1.917429223773077,25.419381391351063,975.7762208618966,NA,NA,NA,NA,NA,NA,NA
2,NA,Calcarosol,23.229544420449223,889.4045288176543,23.49339767467995,0.7154850790136453,0.8152434215948333,9.912614023914728,1.917149697511392,25.410547372191342,977.5677668705657,NA,NA,NA,NA,NA,NA,NA
5,Agnes Banks Nature Reserve,Vertosol,23.974976516948757,897.3339093110388,23.455621446839857,0.7130257197727872,0.759434113600636,9.718328172377012,1.923828316694144,25.379449763534,984.5397634199055,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,Agnes Banks Nature Reserve,Vertosol,25.44954513900848,889.231523830564,23.496184018810087,0.7134228213650076,0.7741289220619291,9.775630136940674,1.9226301036012527,25.41881412241134,976.1595086613214,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
2,NA,Calcarosol,21.737110390390633,890.9285553546874,23.424680226353413,0.715571423268515,0.8098543845592676,9.809895521151704,1.9174700387717583,25.34215026512517,978.3277158030885,NA,NA,NA,NA,NA,NA,NA
2,NA,Calcarosol,20.50466887464886,893.357663771152,23.397945006953492,0.7153457250353275,0.8056097472539298,9.746317751142694,1.917195306057525,25.315140313011018,980.4271403364735,NA,NA,NA,NA,NA,NA,NA
6,NA,Rudosol,24.368503153490625,894.9652581002401,22.891814919024156,0.7125606460995634,0.7258199840095926,9.696138821460577,1.9266089101569923,24.81842382918115,981.7423319294825,NA,NA,NA,NA,NA,NA,NA
5,Agnes Banks Nature Reserve,Vertosol,28.705414140268246,893.4556610392145,23.468179185650044,0.7131350400485148,0.7565458980351178,9.834332783955942,1.9256556173963453,25.39383480304639,981.3210640229042,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,Agnes Banks Nature Reserve,Vertosol,28.961942903782294,890.6534675885512,23.485784105016684,0.7134561733403568,0.7717029662092827,9.899777726176554,1.9249559594014736,25.410740064418157,978.8261811903018,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Vertosol,28.376415802180418,889.6063258738909,23.4801648328608,0.7137999554124336,0.7867226258122322,9.962785343295435,1.9241074657770099,25.40427229863781,978.235894521084,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
2,NA,Calcarosol,17.867100970154667,893.080371116453,23.36065494608984,0.7149816953344756,0.8032714421183227,9.829254971606506,1.920196053618912,25.280850999708754,980.8635178948589,NA,NA,NA,NA,NA,NA,NA
5,Agnes Banks Nature Reserve,Vertosol,29.93975505212179,892.6046887452819,23.478701831417382,0.7134663723112173,0.7694178008081964,10.026409272320718,1.927433806442367,25.406135637859748,982.1008880228084,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,28.619183506248145,891.4600229024827,23.477110412643817,0.7137341796904632,0.7848997590863775,10.097560550878583,1.9270839098379733,25.40419432248179,981.4757385019369,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,25.07698572177109,890.4041671240993,23.455338970491166,0.7140246613545724,0.8002441537801274,10.166271770515127,1.9265850102198967,25.38192398071106,980.9250746099269,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,21.202685342020764,889.4774824750672,23.430724147173386,0.7143378357280423,0.8103971823273073,10.191939039179626,1.9259499526220674,25.356674099795452,980.1324852561557,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,19.520607727444197,888.7634897564423,23.403802323258155,0.7146737212326906,0.8077800835611165,10.115287111756452,1.9252915000084154,25.32909382326657,978.6644684897725,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Vertosol,29.51562235443196,908.9010805318705,23.323832596849112,0.7131377437936138,0.7349724152947792,9.989618143869171,1.9293194446230824,25.253152041472195,999.6968277825051,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,31.929525952136075,893.5464802079458,23.473181662881185,0.7134534118413491,0.7672734648690198,10.155525468577215,1.9300636870317587,25.403245349912943,984.290820579039,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,29.118586388498244,892.3054176539143,23.474028100392164,0.7136452310556323,0.7832178037983272,10.234821852028116,1.9302124758487793,25.404240576240944,983.6312875267878,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
5,NA,Calcarosol,25.549693012864882,891.1948117350712,23.448096934390254,0.7138597316393565,0.7990245360999387,10.311677416359204,1.9302122151406473,25.3783091495309,983.0919458725215,10598,Persoonia nutans,Shrubs,Nodding Geebung,30,Cumberland Plain,No
