clumps,CAPAD,SiteName,tmax_outsideNiche,rain_outsideNiche
1,NA,NA,2.009496427671202,0
2,NA,NA,1.9637022135762727,0
3,NA,NA,1.8820436032219554,0
4,NA,NA,2.014036130958118,0
5,NA,NA,1.8781979157547788,0
6,NA,NA,2.0192724581234316,0
7,Scotia Private Nature Reserve,Scotia,1.9616460034428798,0
8,Scotia Private Nature Reserve,Scotia,1.9732045388292647,0
7,Scotia Private Nature Reserve,Scotia,1.948465678551564,0
8,Scotia Private Nature Reserve,Scotia,1.9550727643757142,0
8,Scotia Private Nature Reserve,Scotia,1.9361996535829,0
9,Scotia Private Nature Reserve,Scotia,1.8595397712478743,0
9,Scotia Private Nature Reserve,Scotia,1.860418527885571,0
10,NA,NA,1.846771810096481,0
11,NA,Rick Farley Reserve,1.646068526621626,0
12,NA,Rick Farley Reserve,1.6397180678354566,0
11,NA,Rick Farley Reserve,1.6881198047490251,0
13,NA,Rick Farley Reserve,1.8650598175060296,0
14,NA,NA,1.279666631297264,0
15,NA,NA,1.5110376918051571,0
16,Southern Mallee NRS Addition - Gazettal in Progress,Buronga,1.3352605266287831,0
16,Southern Mallee NRS Addition - Gazettal in Progress,Buronga,1.3128502970782172,0
17,Southern Mallee NRS Addition - Gazettal in Progress,Buronga,1.2591424605545036,0
17,Southern Mallee NRS Addition - Gazettal in Progress,Buronga,1.2539559614269322,0
18,NA,NA,1.3175852602171254,0
19,Southern Mallee NRS Addition - Gazettal in Progress,NA,1.2081211323275198,0
20,NA,NA,1.4680440931698406,0
21,NA,NA,1.3662577156308302,0
22,NA,NA,1.2679076666840032,0
23,NA,NA,1.1233593550588985,0
24,NA,NA,0.6455883803457176,0
25,NA,NA,1.1995037597036706,0
26,NA,NA,1.1773892971023443,0
27,NA,NA,0.641018150068998,0
27,NA,NA,0.622741856881138,0
28,NA,NA,0.32233141015029076,0
29,NA,NA,0.312652038314404,0
29,NA,NA,0.2983865830573684,0
30,NA,NA,0.27472694309221524,0
31,NA,NA,0.7000040658403215,0
32,NA,NA,0.7876712677876512,0
33,NA,NA,0.6020210402892161,0
34,NA,NA,0.39961164979853336,0
35,NA,NA,0.6332782014622289,0
34,NA,NA,0.4287918140414497,0
36,NA,NA,0.8348618916489059,0
37,NA,NA,0.5268263110546982,0
38,NA,NA,0.41664826872405314,0
39,NA,NA,0.4939528121541059,0
40,NA,NA,0.530123759580384,0
40,NA,NA,0.4960112113637152,0
41,NA,NA,0.3566641187381059,0
42,NA,NA,0.3949842529158438,0
43,NA,NA,0.6979400808105858,0
44,NA,NA,0.38962015792773386,0
45,NA,NA,0.3539093894455796,0
46,NA,NA,0.41765902270465816,0
44,NA,NA,0.3350572069980373,0
47,NA,NA,0.49726614816023584,0
48,NA,NA,0.6227898568659072,0
49,NA,NA,0.3043161891986692,0
50,NA,NA,0.6595558900850698,0
49,NA,NA,0.3101636718309102,0
51,NA,NA,0.39310071726694673,0
52,NA,NA,0.6343745066572026,0
53,NA,NA,0.7487064506701273,0.32510935327451307
54,NA,NA,0.4354564046522498,0
55,NA,NA,0.7313869239767712,0.12194608736854207
55,NA,NA,0.7343830036725549,0
56,NA,NA,0.2884512296353634,0
57,NA,NA,0.421792670344729,0
58,NA,NA,0.4345314212590381,0
59,NA,NA,0.42538845087218036,0
60,NA,NA,0.6408037395644328,0
61,NA,NA,0.700734655721714,8.28687834215441
61,NA,NA,0.7227191630370591,7.011670083005583
62,NA,NA,0.37447494572931106,0
63,NA,NA,0.3156485940625835,0
64,NA,NA,0.28471545175144897,0
65,NA,NA,0.16741382750484135,1.0542579802845466
66,NA,NA,0.3064490753006588,0
67,NA,NA,0.7261939895177818,0
68,NA,NA,0.5400597443107067,0
69,NA,NA,0.22283468068529544,0
70,NA,NA,0.5982344698385766,12.91350872851649
